Cpf;numero de telefone;Nome atentetende;tempo de ligacao;tempo de espera
96791625082;3138595450;fulaninha;00:03:32;00:00:07
78725555065;3432384147;ciclana;00:02:56;00:00:05
52925990079;3432384565;beltrana;00:01:53;00:00:06
76909820002;3138595450;belciclana;00:01:46;00:00:13
74195503019;3138711688;fulaninha;00:02:52;00:00:11
12200822014;3138924405;belciclana;00:01:06;00:00:14
41249247047;3135173900;belciclana;00:02:42;00:00:24
88074511073;3135173900;fulaninha;00:02:01;00:00:06
93510985087;3133982864;ciclana;00:03:47;00:00:06
52051060002;3133895600;beltrana;00:01:52;00:00:05
17264588068;3135610562;beltrana;00:02:44;00:00:11
42625496070;3121021666;Noname;00:01:33;00:00:05
25163765027;3133973137;ciclana;00:10:08;00:00:06
77375021066;31994022920;Noname;00:02:19;00:00:08
93304549099;3335164400;fulaninha;00:01:17;00:00:08
58429376038;3335164400;ciclana;00:04:11;00:00:08
52623124035;3838121246;belciclana;00:03:26;00:00:27
12830355024;3133974094;fulaninha;00:01:03;00:00:07
12830355024;1120653955;beltrana;00:03:29;00:00:05
11224382064;3138323717;ciclana;00:01:28;00:00:04
88074511073;75999778359;fulaninha;00:03:32;00:00:07
17264588068;3121039900;beltrana;00:02:56;00:00:05
96791625082;3121039900;fulano;00:01:53;00:00:06
74195503019;3137735182;belciclana;00:01:46;00:00:13
76909820002;3133896100;beltrana;00:02:52;00:00:11
17264588068;3237212539;fulana;00:01:06;00:00:14
41249247047;3121039900;ciclana;00:02:42;00:00:24
96791625082;33988050512;fulaninha;00:01:25;00:00:08
42792859008;3137611168;fulaninha;00:02:55;00:00:17
